"team","total_goals","total_acc_passes","total_passes","acc_pass_perc"
"FC Bayern München",92,17954,20864,0.86
"Borussia Dortmund",81,15631,18550,0.84
"RB Leipzig",72,14430,17293,0.83
"Bayer 04 Leverkusen",76,12901,15656,0.82
"Borussia M'gladbach",52,13124,15934,0.82
"VfB Stuttgart",37,11496,14280,0.81
"TSG Hoffenheim",55,12151,15016,0.81
"VfL Wolfsburg",48,11187,14205,0.79
"1. FC Köln",52,10550,13666,0.77
"SpVgg Greuther Fürth",26,8637,11277,0.77
"Eintracht Frankfurt",43,10943,14163,0.77
"SC Freiburg",55,9920,12849,0.77
"Hertha Berlin",37,9214,12133,0.76
"1. FC Union Berlin",45,8243,11021,0.75
"1. FSV Mainz 05",49,9320,12468,0.75
"VfL Bochum 1848",37,7777,10523,0.74
"FC Augsburg",39,7547,10350,0.73
"Arminia Bielefeld",26,7522,10430,0.72
