"team","total_goals","total_acc_passes","total_passes","acc_pass_perc"
"Real Madrid",80,19637,21946,0.89
"Barcelona",68,19363,21890,0.88
"Sevilla",51,16173,18953,0.85
"Real Betis",60,14081,16840,0.84
"Villarreal",62,14648,17448,0.84
"Atlético Madrid",64,14176,17134,0.83
"Real Sociedad",40,13542,16398,0.83
"Espanyol",39,11760,14328,0.82
"Elche",37,10989,13637,0.81
"Celta Vigo",43,14069,17303,0.81
"Levante UD",51,10949,13827,0.79
"Rayo Vallecano",38,11061,13973,0.79
"Athletic Club",40,11268,14499,0.78
"Mallorca",33,9620,12472,0.77
"Cádiz",37,9060,11909,0.76
"Osasuna",37,10243,13461,0.76
"Granada",43,9057,12034,0.75
"Getafe",31,9073,12177,0.75
"Valencia",44,7592,10451,0.73
"Deportivo Alavés",29,8106,11348,0.71
